time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.972508358403158e-07,-3.950710530103953e-08,10.003437846374686,6.283129241194354,0.0007182410639918757,0.0,-7.79206838387678e-05,-4.165527080567508e-06,0.11458949241925184,-0.0028722047286718617,0.028935145070787222,0.0,440.86775133155044,443.25157938943727,441.066102608817,440.8288938415556
0.12000000000000001,-2.986213279781846e-05,-2.384555832447879e-06,10.015883230405231,6.282617139860921,0.002496803049989005,0.0,-0.0010858113720488777,-0.00010923872297252759,0.30022522231306714,-0.023358008797801675,0.031021306894921812,0.0,463.2859721954456,463.45017445087547,464.04275089039237,462.43222566400226
0.18,-0.00016069917722822506,-2.749832863605448e-05,10.039384926542963,6.281664265300389,0.00423743402005794,0.0,-0.0034814596773918324,-0.0008588162551768969,0.4831038306809706,-0.004038720395462484,0.0246515064344375,0.0,462.560513368575,462.0589092335812,462.0717490561782,463.59206934305104
0.23999999999999996,-0.0004779332378835335,-0.00011597343054581304,10.074706959483752,6.28187418570695,0.005278570486807688,0.0,-0.007250006477968087,-0.0020883767351202393,0.6941918500643738,0.015419194075943905,-0.004165747008015353,0.0,472.42567874718236,470.1987404916448,470.14873004348425,471.6536408562687
0.3,-0.0010383329890508992,-0.00026798671138812436,10.122570092625187,6.283177871651908,0.0044901348299895005,0.0,-0.011384418702055749,-0.002844550416730301,0.9011059174234959,0.03204220096635067,-0.044949662145472774,0.0,471.6595497984325,468.4995829081598,469.52004589821337,470.8077481070253
0.36000000000000004,-0.0018183984873731355,-0.00043028627945749945,10.18330638490452,0.0016579801225615753,0.0016501220157731922,0.0,-0.014285160961800483,-0.002347933701728782,1.123246531233217,0.01740156251780452,-0.05258554317109518,0.0,475.1029493861308,474.515999852568,475.57497509473836,474.452529913577
0.4200000000000001,-0.002696036365287158,-0.0005352749033662909,10.252369762830762,0.002829559013520111,6.281516768398735,0.0,-0.01466114279301381,-0.0010457848834624795,1.178810158229164,0.0234687260685393,-0.061408232322188956,0.0,424.551953198703,423.7921164267403,423.2696704516335,423.7914178447743
0.48000000000000015,-0.0035267217489883223,-0.0005327439797346287,10.32654108675265,0.004319837397672721,6.2783192984372,0.0,-0.012673988834397019,0.0012808573139606988,1.2934429294450656,0.027444408288058574,-0.04065248911523578,0.0,442.240672833551,443.94479702047755,442.57248158855305,442.8996500737467
0.5400000000000001,-0.0041435601507045375,-0.00033057894024390416,10.413483542842757,0.006299856361166256,6.275787406251775,0.0,-0.007558546487766876,0.005700144180731389,1.604253219448497,0.042276916208459234,-0.04548320806544351,0.0,500.3464427114702,499.9939107861749,501.20021678754495,502.27723550672954
0.6000000000000002,-0.0044078171990188505,0.00017439224702590398,10.516047905833348,0.009342403195655713,6.273196220387536,0.0,-0.0009382820178370469,0.011464547089676591,1.814244770776779,0.06373243251830651,-0.03894984564852523,0.0,471.68973808748126,472.1930452336755,473.1899325625317,474.8399820329555
0.6600000000000003,-0.004250261721375917,0.0010685091745655869,10.627765910826044,0.013158973981200361,6.2708827161928475,0.0,0.006424067363468913,0.018724734166755068,1.9095275675557122,0.0633626521803342,-0.03778698287529987,0.0,438.290240816399,438.3861189751358,438.9695623199855,438.9418821605099
0.7200000000000003,-0.0036063683776796484,0.0024734412350471873,10.744986885726654,0.01680198518528986,6.2685046023252085,0.0,0.015269707957046158,0.028477941823570867,1.9976795651015833,0.054819612666797184,-0.04361362100630163,0.0,436.9389231570422,436.4520898678068,437.1274403545624,436.4176701833321
0.7800000000000004,-0.002400328333577341,0.004514754884867733,10.866297572505252,0.019841479475832813,6.265851923401037,0.0,0.025178903095920645,0.03986436776556323,2.045915049192065,0.040670562510789175,-0.045433947865637064,0.0,424.7708553360802,424.6135197941518,424.2706004932255,423.05585113513365
0.8400000000000004,-0.0004507619737104463,0.007405816683848971,10.99599582842501,0.02201825776312205,6.263248821931265,0.0,0.040122053048419926,0.05677793515923039,2.2769170316932166,0.02560976659857931,-0.03957442620102727,0.0,480.37337503658364,480.81656913787754,481.2413674880139,480.1005523348722
0.9000000000000005,0.00243145669944305,0.011333189686748046,11.138257749312045,0.024145495227256397,6.261012378561908,0.0,0.05620874421963605,0.07434206520332466,2.4647497925575266,0.050129037700734416,-0.03303113936438952,0.0,468.06572560866533,468.5740688697363,468.4866974599185,470.389667429054
0.9600000000000005,0.0062871595473195045,0.016323017855295364,11.289907720305408,0.027171802816051027,6.258747612296737,0.0,0.07253057888075426,0.09229745402379999,2.5899591718040407,0.051050017216546624,-0.0494084464760806,0.0,451.8911731154048,450.5683828780752,450.20504404680844,450.28112720121834
1.0200000000000005,0.011072275192448038,0.0223416119621031,11.444974556276323,0.02984762631298299,6.2555506800027825,0.0,0.08723633128299592,0.10857244335309996,2.578944467092105,0.026792272111035166,-0.06244190898044746,0.0,407.8821443044731,406.71428365412186,407.9888591620654,405.8185242118481
1.0800000000000005,0.016853301485452426,0.029438105701778603,11.6013440914298,0.03189849497677333,6.251820010759879,0.0,0.10581707525390603,0.12815011879430238,2.6332313066372652,0.04591041294048299,-0.06165504733126673,0.0,428.5580059869637,428.62194116571607,428.3363214479759,429.9595856467216
1.1400000000000006,0.02391594393522713,0.03784918090223732,11.763926941180342,0.03530050901200443,6.24810358264298,0.0,0.12999974838953926,0.1525508946372649,2.7858091698412237,0.0724176495978283,-0.06251724352636609,0.0,460.02598031241587,459.9550883923456,459.0189488848183,461.11961670811945
